budget_bytes,round,accuracy,precision,recall,f1,selected_clients,active_per,selected_key_count,selected_plain_budget_bytes,encrypted_upload_mb,crypto_overhead_percent,he_distance_time_sec,he_aggregation_time_sec,decryption_time_sec,round_time_sec,privacy_coverage_ratio,residual_privacy_leakage,leakage_coverage_ratio,variance_coverage_ratio,influence_coverage_ratio
2000000,1,0.555,0.7437943262411347,0.555,0.44816468253968256,"[2, 3]",0.1246848590188299,69,2000000,156.84834384918213,20.295575817565133,6.363206700072624,0.23787140846252441,0.12876534461975098,47.49713397026062,1.0,0.0,1.0,1.0,1.0
2000000,2,0.56,0.7659574468085105,0.56,0.45436507936507936,"[2, 3]",0.1246848590188299,69,2000000,156.84647369384766,20.2109485889362,6.102935500093736,0.2341606616973877,0.15624642372131348,46.24544167518616,1.0,0.0,1.0,1.0,1.0
2000000,3,0.64,0.7906976744186046,0.64,0.5863970588235294,"[2, 3]",0.1246848590188299,69,2000000,156.85195064544678,20.83346905120715,6.455056100036018,0.2357017993927002,0.13977980613708496,47.899182081222534,1.0,0.0,1.0,1.0,1.0
2000000,4,0.6975,0.8115264797507789,0.6975,0.6670312811728203,"[2, 3]",0.1246848590188299,69,2000000,156.84778881072998,20.838718578215097,6.137203400023282,0.24168038368225098,0.1295478343963623,45.21473002433777,1.0,0.0,1.0,1.0,1.0
2000000,5,0.765,0.8401360544217686,0.765,0.7512635283533116,"[2, 3]",0.1246848590188299,69,2000000,156.8420639038086,20.338482029712306,6.089786999975331,0.23311567306518555,0.12844300270080566,46.54332518577576,1.0,0.0,1.0,1.0,1.0
4000000,1,0.615,0.7541998231653403,0.615,0.5539334955393349,"[2, 3]",0.2493697180376598,102,4000000,312.41987133026123,30.94480317075118,12.232465700013563,0.4561285972595215,0.2662343978881836,60.08293104171753,1.0,0.0,1.0,1.0,1.0
4000000,2,0.6475,0.7932551319648095,0.6475,0.5974849948971945,"[2, 3]",0.2493697180376598,102,4000000,312.41814613342285,31.433457147204912,12.155535399913788,0.47505736351013184,0.2579939365386963,59.26470613479614,1.0,0.0,1.0,1.0,1.0
4000000,3,0.77,0.8424657534246575,0.77,0.757153415690001,"[2, 3]",0.2493697180376598,102,4000000,312.41523838043213,31.517686762303455,12.1296743999701,0.4565441608428955,0.2629060745239258,58.762975215911865,1.0,0.0,1.0,1.0,1.0
4000000,4,0.8425,0.8802281368821292,0.8425,0.8384936326755582,"[2, 3]",0.2493697180376598,102,4000000,312.4151954650879,31.195137043832954,12.014751000097021,0.4632143974304199,0.2539653778076172,58.82227802276611,1.0,0.0,1.0,1.0,1.0
4000000,5,0.8875,0.9081632653061225,0.8875,0.8860579205570501,"[2, 3]",0.2493697180376598,102,4000000,312.418288230896,31.252100175920578,12.004009900032543,0.46552038192749023,0.2584249973297119,58.93116807937622,1.0,0.0,1.0,1.0,1.0
8000000,1,0.68,0.7923976608187135,0.68,0.6459785374488328,"[2, 3]",0.49873893733588354,109,7999992,623.560302734375,45.54953587898199,24.303499400033616,0.9169232845306396,0.6005206108093262,81.30724763870239,1.0,0.0,1.0,1.0,1.0
8000000,2,0.7925,0.8533568904593639,0.7925,0.7831638484498175,"[2, 3]",0.49873893733588354,109,7999992,623.5507984161377,45.276943221656744,24.21783370000776,0.9305553436279297,0.5318644046783447,81.26054668426514,1.0,0.0,1.0,1.0,1.0
8000000,3,0.895,0.9132231404958678,0.895,0.8938294699057104,"[2, 3]",0.49873893733588354,109,7999992,623.557783126831,45.388334154121864,24.069994399906136,0.9161760807037354,0.5159471035003662,80.72699880599976,1.0,0.0,1.0,1.0,1.0
8000000,4,0.93,0.9385964912280701,0.93,0.9296553110240177,"[2, 3]",0.49873893733588354,109,7999992,623.5642900466919,45.5340048976154,24.108922700048424,0.9110572338104248,0.5114603042602539,80.42787098884583,1.0,0.0,1.0,1.0,1.0
8000000,5,0.9525,0.954419924179659,0.9525,0.9524497750749228,"[2, 3]",0.49873893733588354,109,7999992,623.5568037033081,45.95769873513822,24.934674199903384,0.907832145690918,0.4974651336669922,81.51071310043335,1.0,0.0,1.0,1.0,1.0
